utc_timestamp,actual_demand,pred_demand,pred_solar,pred_wind,pred_supply,pred_gap,actual_gap,level,action,detail
2019-08-09 13:00:00+00:00,60975.0,60856.387,15923.892,7704.4517,23628.344,37228.04325,38090.605599999995,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 37,228 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 14:00:00+00:00,60801.0,59836.66,11683.618,8217.635,19901.254,39935.40609375,40582.821599999996,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 39,935 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 15:00:00+00:00,61098.0,60340.082,8177.077,8756.266,16933.344,43406.73825,44355.181599999996,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 43,407 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 16:00:00+00:00,60372.0,60368.94,5077.753,9546.469,14624.222,45744.7183203125,46812.3952,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 45,745 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 17:00:00+00:00,58497.0,59596.496,1764.3776,10285.72,12050.098,47546.39834375,46390.9424,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 47,546 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 18:00:00+00:00,56400.0,56387.715,314.3679,11184.167,11498.535,44889.17984375,43693.3424,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 44,889 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 19:00:00+00:00,54428.0,53847.32,4.0810223,13493.823,13497.904,40349.415703125,39615.8096,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 40,349 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 20:00:00+00:00,50704.0,50871.65,0.0,16232.913,16232.913,34638.7369140625,35206.335999999996,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 34,639 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 21:00:00+00:00,46231.0,47072.117,0.0,16318.496,16318.496,30753.62090625,29874.0104,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 30,754 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
2019-08-09 22:00:00+00:00,44287.0,43310.21,1.17184,17584.361,17585.533,25724.676796875,26588.8664,CRITICAL,🔴 Emergency import + backup generators,"Deficit of 25,725 MW — activate emergency response, import from neighbouring grids, spin up gas peakers immediately."
